level,vertices,edges,time_sec,cpu_time,energy_kwh
low,50,200,0.0017943749999176362,0.0017590319999999937,1.1209806335580865e-09
medium,200,2000,0.049613416000283905,0.04943674399999992,2.611605508202145e-08
high,500,8000,0.3694988340002965,0.36891823200000007,1.5381168199152894e-07
