algorithm,input_level,n,time_sec,cpu_time
Bellman-Ford,low,50,0.001386880874633789,0.0013679169999999963
Bellman-Ford,medium,200,0.05261683464050293,0.05193212300000001
Bellman-Ford,high,500,0.4894881248474121,0.48757771800000005
Floyd-Warshall,low,50,0.006881237030029297,0.006844286999999949
Floyd-Warshall,medium,150,0.17726516723632812,0.17691005599999998
Floyd-Warshall,high,300,1.4167811870574951,1.4120905599999998
Knapsack,low,50,0.0009207725524902344,0.0009207589999995491
Knapsack,medium,200,0.019449710845947266,0.0194252490000002
Knapsack,high,500,0.10093402862548828,0.10052334800000029
